comment,label,race,religion,gender,sexual_orientation,miscellaneous
Stop treating Other like second-class citizens.,offensive,Brazil,Buddhist,Non-binary,Heterosexual,Other
Why are Non-binary always blamed?,hate speech,Germany,Buddhist,Non-binary,Other,Minority
Why are Female always blamed?,hate speech,Germany,Christian,Female,Heterosexual,Minority
Germany culture is so rich and beautiful.,hate speech,Germany,Sikh,Female,Heterosexual,None
Why are Female always blamed?,normal,China,None,Female,Other,Minority
"This is just a normal opinion, nothing hate speech about it.",hate speech,Brazil,Jewish,Female,Other,Disability
Heterosexual rights are human rights!,offensive,USA,Buddhist,Female,Heterosexual,Minority
Attacking someone's Buddhist is never okay.,offensive,Brazil,Buddhist,Female,Bisexual,Minority
I can't believe people from Brazil still think like this.,hate speech,Brazil,Hindu,Non-binary,Bisexual,Other
"You are being so hate speech, please stop.",hate speech,USA,None,Non-binary,Other,Other
"You are being so normal, please stop.",normal,Nigeria,Sikh,Female,Heterosexual,None
Homosexual rights are human rights!,offensive,Russia,Jewish,Non-binary,Homosexual,Minority
Homosexual rights are human rights!,normal,Brazil,Sikh,Male,Homosexual,Refugee
"You are being so normal, please stop.",normal,India,Jewish,Female,Bisexual,Disability
Male deserve equal treatment.,hate speech,China,Christian,Male,Bisexual,Disability
Male deserve equal treatment.,offensive,USA,Christian,Male,Other,Minority
"This is just a normal opinion, nothing hate speech about it.",hate speech,Russia,Jewish,Female,Heterosexual,Minority
Why are Female always blamed?,hate speech,China,Buddhist,Female,Bisexual,None
Why are Female always blamed?,normal,UK,Buddhist,Female,Heterosexual,Other
Stop treating None like second-class citizens.,hate speech,Brazil,Hindu,Male,Other,None
Non-binary deserve equal treatment.,normal,China,None,Non-binary,Heterosexual,Other
Why are Male always blamed?,hate speech,Brazil,Muslim,Male,Homosexual,Minority
"You are being so offensive, please stop.",offensive,USA,Muslim,Male,Bisexual,Disability
Stop treating Disability like second-class citizens.,hate speech,Germany,Buddhist,Female,Bisexual,Disability
Why are Non-binary always blamed?,hate speech,Germany,Buddhist,Non-binary,Other,None
Female deserve equal treatment.,normal,China,Christian,Female,Other,Minority
"This is just a normal opinion, nothing normal about it.",normal,USA,Christian,Non-binary,Other,Minority
"You are being so normal, please stop.",normal,India,Christian,Female,Bisexual,Disability
Why are Female always blamed?,offensive,Russia,Hindu,Female,Other,Minority
This is such a hateful thing to say about None people.,hate speech,Brazil,None,Non-binary,Other,Minority
This is such a hateful thing to say about Hindu people.,offensive,UK,Hindu,Non-binary,Other,Disability
USA culture is so rich and beautiful.,offensive,USA,Buddhist,Non-binary,Homosexual,None
Stop treating Minority like second-class citizens.,normal,Nigeria,Jewish,Female,Other,Minority
I can't believe people from Russia still think like this.,normal,Russia,Sikh,Non-binary,Homosexual,Other
This is such a hateful thing to say about Christian people.,normal,Nigeria,Christian,Male,Heterosexual,None
This is such a hateful thing to say about Jewish people.,normal,Russia,Jewish,Female,Homosexual,Disability
"You are being so normal, please stop.",normal,China,Hindu,Female,Bisexual,Disability
"You are being so normal, please stop.",normal,China,Muslim,Non-binary,Bisexual,Refugee
Non-binary deserve equal treatment.,offensive,Germany,Buddhist,Non-binary,Bisexual,Minority
"This is just a normal opinion, nothing offensive about it.",offensive,UK,Jewish,Male,Homosexual,Disability
Homosexual rights are human rights!,normal,Germany,Sikh,Female,Homosexual,None
"You are being so hate speech, please stop.",hate speech,Russia,Hindu,Male,Other,Disability
India culture is so rich and beautiful.,hate speech,India,Hindu,Female,Heterosexual,None
"You are being so offensive, please stop.",offensive,Brazil,Sikh,Non-binary,Heterosexual,Disability
"You are being so offensive, please stop.",offensive,China,Jewish,Non-binary,Other,None
This is such a hateful thing to say about Jewish people.,hate speech,USA,Jewish,Female,Other,None
Why are Female always blamed?,normal,USA,Christian,Female,Heterosexual,Other
Stop treating Other like second-class citizens.,offensive,USA,Sikh,Female,Bisexual,Other
UK culture is so rich and beautiful.,normal,UK,Buddhist,Male,Bisexual,Minority
This is such a hateful thing to say about None people.,hate speech,Brazil,None,Male,Other,Disability
Why are Male always blamed?,hate speech,Nigeria,Christian,Male,Bisexual,None
"This is just a normal opinion, nothing hate speech about it.",hate speech,Russia,Sikh,Female,Heterosexual,Disability
Male deserve equal treatment.,hate speech,Germany,None,Male,Other,Minority
Homosexual rights are human rights!,offensive,China,Hindu,Non-binary,Homosexual,Minority
Attacking someone's Sikh is never okay.,hate speech,India,Sikh,Male,Other,Refugee
Non-binary deserve equal treatment.,hate speech,USA,Buddhist,Non-binary,Heterosexual,Disability
Attacking someone's Christian is never okay.,normal,USA,Christian,Non-binary,Bisexual,Other
"This is just a normal opinion, nothing hate speech about it.",hate speech,Germany,None,Male,Other,None
Germany culture is so rich and beautiful.,hate speech,Germany,Sikh,Male,Bisexual,Refugee
Why are Female always blamed?,hate speech,China,Muslim,Female,Bisexual,Refugee
Heterosexual rights are human rights!,offensive,China,Jewish,Female,Heterosexual,Refugee
This is such a hateful thing to say about None people.,normal,USA,None,Male,Heterosexual,Disability
This is such a hateful thing to say about Muslim people.,hate speech,China,Muslim,Female,Other,Refugee
"You are being so normal, please stop.",normal,China,Buddhist,Male,Bisexual,None
Why are Male always blamed?,hate speech,Brazil,Jewish,Male,Other,Other
"You are being so hate speech, please stop.",hate speech,Germany,None,Male,Bisexual,Disability
I can't believe people from Germany still think like this.,hate speech,Germany,Hindu,Female,Heterosexual,Minority
Female deserve equal treatment.,normal,UK,None,Female,Homosexual,Other
"This is just a normal opinion, nothing hate speech about it.",hate speech,Russia,None,Female,Bisexual,Other
Stop treating Refugee like second-class citizens.,normal,USA,Hindu,Female,Bisexual,Refugee
Male deserve equal treatment.,hate speech,Russia,Christian,Male,Homosexual,Other
Why are Male always blamed?,offensive,Nigeria,Jewish,Male,Other,None
I can't believe people from Russia still think like this.,normal,Russia,Hindu,Male,Bisexual,None
"This is just a normal opinion, nothing normal about it.",normal,USA,Sikh,Female,Heterosexual,None
"You are being so normal, please stop.",normal,Brazil,Muslim,Female,Homosexual,None
"You are being so hate speech, please stop.",hate speech,Nigeria,Christian,Male,Heterosexual,Minority
Other rights are human rights!,offensive,Germany,Hindu,Male,Other,Other
This is such a hateful thing to say about Christian people.,normal,Nigeria,Christian,Male,Heterosexual,None
I can't believe people from Brazil still think like this.,offensive,Brazil,Christian,Male,Heterosexual,Minority
Attacking someone's Muslim is never okay.,offensive,China,Muslim,Non-binary,Bisexual,Other
I can't believe people from USA still think like this.,offensive,USA,Christian,Female,Homosexual,Disability
China culture is so rich and beautiful.,offensive,China,Buddhist,Male,Homosexual,Disability
I can't believe people from Brazil still think like this.,offensive,Brazil,Hindu,Male,Heterosexual,Other
"You are being so hate speech, please stop.",hate speech,Nigeria,Christian,Male,Other,None
Why are Male always blamed?,offensive,Russia,Muslim,Male,Other,Refugee
Why are Male always blamed?,normal,UK,Muslim,Male,Bisexual,None
Bisexual rights are human rights!,offensive,Germany,Christian,Non-binary,Bisexual,Minority
Why are Female always blamed?,hate speech,Brazil,Sikh,Female,Heterosexual,Disability
Why are Male always blamed?,offensive,Germany,Hindu,Male,Heterosexual,None
"You are being so normal, please stop.",normal,Russia,Muslim,Non-binary,Homosexual,Minority
Bisexual rights are human rights!,normal,Germany,Christian,Male,Bisexual,None
Heterosexual rights are human rights!,normal,Germany,Buddhist,Male,Heterosexual,None
I can't believe people from China still think like this.,hate speech,China,Christian,Female,Bisexual,Disability
This is such a hateful thing to say about Hindu people.,offensive,Nigeria,Hindu,Non-binary,Heterosexual,Other
Why are Female always blamed?,offensive,UK,Buddhist,Female,Bisexual,Minority
This is such a hateful thing to say about Muslim people.,normal,Germany,Muslim,Non-binary,Heterosexual,Disability
Homosexual rights are human rights!,hate speech,Nigeria,Muslim,Non-binary,Homosexual,Disability
Stop treating Minority like second-class citizens.,offensive,India,None,Non-binary,Heterosexual,Minority
This is such a hateful thing to say about Hindu people.,offensive,India,Hindu,Non-binary,Homosexual,Refugee
I can't believe people from India still think like this.,normal,India,Sikh,Female,Homosexual,Minority
Homosexual rights are human rights!,offensive,Nigeria,Jewish,Female,Homosexual,None
"This is just a normal opinion, nothing hate speech about it.",hate speech,Russia,Jewish,Non-binary,Homosexual,Disability
"This is just a normal opinion, nothing normal about it.",normal,Russia,Buddhist,Male,Homosexual,None
"This is just a normal opinion, nothing normal about it.",normal,Germany,Buddhist,Female,Bisexual,Minority
Russia culture is so rich and beautiful.,normal,Russia,Hindu,Male,Other,Other
I can't believe people from Brazil still think like this.,offensive,Brazil,Sikh,Male,Other,Disability
"You are being so normal, please stop.",normal,Nigeria,Jewish,Female,Other,None
Russia culture is so rich and beautiful.,normal,Russia,Buddhist,Male,Homosexual,Minority
Why are Non-binary always blamed?,offensive,India,Muslim,Non-binary,Bisexual,Minority
Heterosexual rights are human rights!,normal,Nigeria,None,Male,Heterosexual,Refugee
Why are Non-binary always blamed?,offensive,India,Muslim,Non-binary,Bisexual,None
Attacking someone's None is never okay.,normal,China,None,Male,Other,Disability
Attacking someone's Muslim is never okay.,hate speech,India,Muslim,Non-binary,Bisexual,Disability
Female deserve equal treatment.,hate speech,UK,Buddhist,Female,Homosexual,Refugee
Female deserve equal treatment.,offensive,UK,Muslim,Female,Heterosexual,Other
Why are Female always blamed?,normal,Brazil,Sikh,Female,Homosexual,None
"This is just a normal opinion, nothing normal about it.",normal,USA,Buddhist,Female,Heterosexual,Minority
Male deserve equal treatment.,normal,China,None,Male,Bisexual,Other
Attacking someone's Buddhist is never okay.,hate speech,USA,Buddhist,Non-binary,Heterosexual,Other
Stop treating Disability like second-class citizens.,hate speech,India,None,Female,Heterosexual,Disability
This is such a hateful thing to say about Buddhist people.,normal,India,Buddhist,Female,Bisexual,None
Stop treating Disability like second-class citizens.,offensive,Brazil,Jewish,Non-binary,Other,Disability
Other rights are human rights!,normal,China,Buddhist,Male,Other,Minority
"You are being so offensive, please stop.",offensive,Nigeria,Muslim,Non-binary,Bisexual,None
Why are Non-binary always blamed?,normal,Brazil,Jewish,Non-binary,Other,Minority
"You are being so offensive, please stop.",offensive,India,Hindu,Male,Other,Disability
I can't believe people from UK still think like this.,offensive,UK,Jewish,Non-binary,Other,Minority
"This is just a normal opinion, nothing hate speech about it.",hate speech,UK,None,Female,Heterosexual,None
Why are Male always blamed?,hate speech,Brazil,Muslim,Male,Other,Minority
Non-binary deserve equal treatment.,hate speech,Nigeria,Sikh,Non-binary,Other,Disability
I can't believe people from UK still think like this.,normal,UK,Jewish,Non-binary,Homosexual,Other
Why are Female always blamed?,offensive,Germany,None,Female,Heterosexual,Refugee
Attacking someone's Christian is never okay.,offensive,Brazil,Christian,Non-binary,Other,Disability
Bisexual rights are human rights!,normal,Brazil,Christian,Male,Bisexual,Disability
"This is just a normal opinion, nothing normal about it.",normal,Germany,Christian,Female,Other,None
Male deserve equal treatment.,hate speech,Russia,Muslim,Male,Heterosexual,Other
"You are being so offensive, please stop.",offensive,Germany,Muslim,Non-binary,Homosexual,Other
Germany culture is so rich and beautiful.,hate speech,Germany,None,Female,Heterosexual,Minority
This is such a hateful thing to say about Muslim people.,normal,UK,Muslim,Non-binary,Bisexual,Minority
Attacking someone's Christian is never okay.,offensive,Nigeria,Christian,Female,Bisexual,None
I can't believe people from Nigeria still think like this.,offensive,Nigeria,Muslim,Female,Bisexual,Refugee
This is such a hateful thing to say about Buddhist people.,normal,Russia,Buddhist,Male,Bisexual,None
Heterosexual rights are human rights!,hate speech,Nigeria,None,Female,Heterosexual,Disability
Male deserve equal treatment.,hate speech,Germany,Christian,Male,Homosexual,Other
"You are being so offensive, please stop.",offensive,Brazil,Muslim,Female,Homosexual,Refugee
Stop treating Disability like second-class citizens.,normal,USA,Sikh,Male,Heterosexual,Disability
Male deserve equal treatment.,normal,Brazil,Christian,Male,Homosexual,Refugee
"You are being so offensive, please stop.",offensive,Nigeria,Buddhist,Female,Heterosexual,Disability
Stop treating Disability like second-class citizens.,hate speech,Russia,Jewish,Non-binary,Heterosexual,Disability
Non-binary deserve equal treatment.,hate speech,UK,Christian,Non-binary,Bisexual,Other
"You are being so offensive, please stop.",offensive,China,Sikh,Male,Bisexual,Refugee
Heterosexual rights are human rights!,hate speech,China,Jewish,Female,Heterosexual,Disability
Attacking someone's Muslim is never okay.,normal,China,Muslim,Non-binary,Other,Disability
This is such a hateful thing to say about Christian people.,offensive,China,Christian,Non-binary,Bisexual,Disability
Russia culture is so rich and beautiful.,hate speech,Russia,Christian,Female,Homosexual,None
"You are being so normal, please stop.",normal,UK,Sikh,Non-binary,Heterosexual,Refugee
Why are Male always blamed?,normal,China,Jewish,Male,Bisexual,Disability
I can't believe people from India still think like this.,normal,India,Jewish,Male,Homosexual,Disability
Other rights are human rights!,normal,UK,Buddhist,Male,Other,Other
I can't believe people from Brazil still think like this.,normal,Brazil,Buddhist,Female,Heterosexual,Minority
Homosexual rights are human rights!,offensive,Brazil,Hindu,Male,Homosexual,Minority
Stop treating None like second-class citizens.,offensive,USA,Buddhist,Non-binary,Homosexual,None
This is such a hateful thing to say about Hindu people.,offensive,Russia,Hindu,Male,Other,None
This is such a hateful thing to say about None people.,normal,Brazil,None,Female,Heterosexual,Other
Bisexual rights are human rights!,normal,China,Hindu,Female,Bisexual,Refugee
I can't believe people from Nigeria still think like this.,hate speech,Nigeria,Hindu,Non-binary,Heterosexual,Refugee
Homosexual rights are human rights!,offensive,UK,Christian,Female,Homosexual,Other
I can't believe people from UK still think like this.,normal,UK,Sikh,Non-binary,Homosexual,Disability
Bisexual rights are human rights!,offensive,Nigeria,Christian,Female,Bisexual,Disability
Other rights are human rights!,normal,Nigeria,Buddhist,Non-binary,Other,Refugee
Why are Non-binary always blamed?,hate speech,Nigeria,Jewish,Non-binary,Other,Disability
This is such a hateful thing to say about Muslim people.,offensive,USA,Muslim,Male,Bisexual,None
Why are Male always blamed?,normal,Brazil,Christian,Male,Other,Minority
"This is just a normal opinion, nothing normal about it.",normal,Germany,Sikh,Non-binary,Homosexual,Disability
Attacking someone's Jewish is never okay.,normal,Germany,Jewish,Non-binary,Other,Refugee
Stop treating Refugee like second-class citizens.,normal,China,Jewish,Male,Heterosexual,Refugee
Stop treating Disability like second-class citizens.,hate speech,India,Buddhist,Non-binary,Heterosexual,Disability
Female deserve equal treatment.,offensive,USA,Jewish,Female,Bisexual,Disability
Non-binary deserve equal treatment.,normal,Nigeria,Jewish,Non-binary,Homosexual,Refugee
Brazil culture is so rich and beautiful.,hate speech,Brazil,Jewish,Female,Homosexual,None
Stop treating Other like second-class citizens.,normal,USA,Jewish,Male,Bisexual,Other
"You are being so hate speech, please stop.",hate speech,UK,Hindu,Female,Homosexual,None
I can't believe people from Nigeria still think like this.,offensive,Nigeria,Jewish,Male,Bisexual,Minority
This is such a hateful thing to say about Christian people.,normal,Brazil,Christian,Female,Heterosexual,Refugee
Stop treating Other like second-class citizens.,offensive,Russia,Hindu,Male,Bisexual,Other
This is such a hateful thing to say about Buddhist people.,offensive,Brazil,Buddhist,Male,Bisexual,Minority
Germany culture is so rich and beautiful.,normal,Germany,None,Non-binary,Homosexual,None
"You are being so normal, please stop.",normal,Nigeria,Hindu,Non-binary,Other,None
Heterosexual rights are human rights!,hate speech,Russia,Jewish,Non-binary,Heterosexual,Minority
"This is just a normal opinion, nothing hate speech about it.",hate speech,India,Christian,Non-binary,Bisexual,Disability
Stop treating None like second-class citizens.,normal,Brazil,None,Non-binary,Homosexual,None
Why are Female always blamed?,hate speech,UK,Christian,Female,Heterosexual,None
I can't believe people from UK still think like this.,hate speech,UK,None,Male,Bisexual,Other
"This is just a normal opinion, nothing offensive about it.",offensive,India,Christian,Male,Other,Disability
Why are Male always blamed?,hate speech,India,Jewish,Male,Other,Disability
Why are Male always blamed?,offensive,China,Hindu,Male,Other,Disability
Russia culture is so rich and beautiful.,normal,Russia,Christian,Female,Heterosexual,Other
Attacking someone's Christian is never okay.,hate speech,Brazil,Christian,Non-binary,Bisexual,None
Male deserve equal treatment.,hate speech,Brazil,Christian,Male,Other,Refugee
"This is just a normal opinion, nothing normal about it.",normal,Russia,Muslim,Female,Homosexual,Minority
I can't believe people from India still think like this.,hate speech,India,Buddhist,Female,Other,Disability
Male deserve equal treatment.,offensive,Germany,Buddhist,Male,Bisexual,Refugee
I can't believe people from Russia still think like this.,offensive,Russia,Jewish,Female,Other,Other
Why are Female always blamed?,normal,Nigeria,Muslim,Female,Bisexual,Refugee
Male deserve equal treatment.,hate speech,Brazil,Buddhist,Male,Bisexual,Minority
Why are Female always blamed?,hate speech,Russia,Jewish,Female,Homosexual,Refugee
Male deserve equal treatment.,hate speech,Brazil,Christian,Male,Other,Other
Stop treating None like second-class citizens.,offensive,Germany,Sikh,Male,Bisexual,None
Why are Male always blamed?,hate speech,Nigeria,Hindu,Male,Heterosexual,None
Attacking someone's Buddhist is never okay.,normal,Nigeria,Buddhist,Non-binary,Homosexual,Refugee
I can't believe people from Brazil still think like this.,normal,Brazil,Jewish,Female,Homosexual,Other
Stop treating None like second-class citizens.,offensive,Germany,Hindu,Non-binary,Heterosexual,None
"This is just a normal opinion, nothing offensive about it.",offensive,USA,Buddhist,Male,Homosexual,Refugee
This is such a hateful thing to say about Christian people.,normal,India,Christian,Female,Homosexual,None
"You are being so offensive, please stop.",offensive,USA,Jewish,Male,Bisexual,Minority
Male deserve equal treatment.,offensive,China,Hindu,Male,Heterosexual,None
"This is just a normal opinion, nothing normal about it.",normal,China,Buddhist,Female,Heterosexual,Other
China culture is so rich and beautiful.,offensive,China,Christian,Non-binary,Bisexual,Other
Attacking someone's Sikh is never okay.,offensive,Nigeria,Sikh,Non-binary,Homosexual,Minority
Germany culture is so rich and beautiful.,offensive,Germany,Sikh,Female,Homosexual,Minority
"This is just a normal opinion, nothing hate speech about it.",hate speech,UK,Muslim,Male,Bisexual,Refugee
Why are Non-binary always blamed?,hate speech,China,Hindu,Non-binary,Other,Other
Why are Female always blamed?,normal,India,Sikh,Female,Other,Refugee
I can't believe people from China still think like this.,hate speech,China,Hindu,Non-binary,Other,Minority
"You are being so hate speech, please stop.",hate speech,USA,Buddhist,Non-binary,Other,Disability
"You are being so normal, please stop.",normal,Russia,Buddhist,Non-binary,Bisexual,Other
Male deserve equal treatment.,offensive,Brazil,Sikh,Male,Bisexual,Refugee
"This is just a normal opinion, nothing normal about it.",normal,Russia,Sikh,Non-binary,Heterosexual,Minority
Other rights are human rights!,normal,Russia,Jewish,Male,Other,Minority
This is such a hateful thing to say about Muslim people.,normal,Germany,Muslim,Female,Homosexual,Refugee
Heterosexual rights are human rights!,hate speech,Nigeria,Jewish,Non-binary,Heterosexual,Disability
Why are Non-binary always blamed?,offensive,USA,Sikh,Non-binary,Bisexual,Refugee
"This is just a normal opinion, nothing offensive about it.",offensive,Brazil,Buddhist,Male,Other,None
"You are being so normal, please stop.",normal,China,Jewish,Non-binary,Homosexual,Other
Other rights are human rights!,offensive,India,Hindu,Non-binary,Other,Refugee
"This is just a normal opinion, nothing normal about it.",normal,India,Buddhist,Female,Bisexual,Other
This is such a hateful thing to say about Hindu people.,offensive,Russia,Hindu,Male,Homosexual,Minority
I can't believe people from USA still think like this.,offensive,USA,Buddhist,Female,Other,Refugee
Stop treating None like second-class citizens.,hate speech,Russia,Christian,Male,Homosexual,None
Stop treating Other like second-class citizens.,hate speech,USA,Buddhist,Non-binary,Homosexual,Other
Female deserve equal treatment.,normal,Nigeria,Christian,Female,Other,None
Attacking someone's Hindu is never okay.,offensive,Nigeria,Hindu,Non-binary,Homosexual,Minority
This is such a hateful thing to say about Christian people.,hate speech,Nigeria,Christian,Non-binary,Bisexual,Refugee
Stop treating None like second-class citizens.,hate speech,USA,Sikh,Non-binary,Bisexual,None
"This is just a normal opinion, nothing hate speech about it.",hate speech,India,Jewish,Male,Bisexual,Disability
This is such a hateful thing to say about Hindu people.,normal,Germany,Hindu,Non-binary,Heterosexual,Minority
"This is just a normal opinion, nothing hate speech about it.",hate speech,UK,Christian,Male,Homosexual,Refugee
Non-binary deserve equal treatment.,hate speech,China,Buddhist,Non-binary,Bisexual,Other
I can't believe people from UK still think like this.,normal,UK,Sikh,Female,Bisexual,Disability
Stop treating Disability like second-class citizens.,offensive,Brazil,Christian,Male,Bisexual,Disability
Attacking someone's Christian is never okay.,hate speech,Germany,Christian,Female,Other,Other
"This is just a normal opinion, nothing hate speech about it.",hate speech,China,Sikh,Female,Other,Other
Non-binary deserve equal treatment.,normal,UK,Buddhist,Non-binary,Homosexual,Minority
This is such a hateful thing to say about Jewish people.,hate speech,Russia,Jewish,Non-binary,Homosexual,Minority
"You are being so normal, please stop.",normal,Nigeria,Sikh,Non-binary,Homosexual,Other
Female deserve equal treatment.,offensive,Germany,Jewish,Female,Bisexual,Refugee
Other rights are human rights!,hate speech,China,Buddhist,Non-binary,Other,Disability
Other rights are human rights!,offensive,Brazil,Jewish,Male,Other,Refugee
Why are Female always blamed?,normal,Nigeria,Sikh,Female,Heterosexual,Other
"This is just a normal opinion, nothing hate speech about it.",hate speech,Russia,Hindu,Female,Other,Minority
Brazil culture is so rich and beautiful.,offensive,Brazil,Christian,Male,Other,Refugee
Attacking someone's Hindu is never okay.,normal,India,Hindu,Female,Other,Other
China culture is so rich and beautiful.,offensive,China,Buddhist,Male,Other,Other
I can't believe people from UK still think like this.,hate speech,UK,None,Non-binary,Homosexual,Minority
This is such a hateful thing to say about Buddhist people.,hate speech,Nigeria,Buddhist,Non-binary,Other,Other
Female deserve equal treatment.,normal,Russia,Muslim,Female,Homosexual,Disability
This is such a hateful thing to say about None people.,hate speech,USA,None,Non-binary,Heterosexual,Refugee
Attacking someone's Christian is never okay.,normal,Germany,Christian,Non-binary,Other,Minority
Attacking someone's Buddhist is never okay.,normal,Brazil,Buddhist,Male,Bisexual,Minority
"You are being so offensive, please stop.",offensive,China,Buddhist,Female,Other,None
Stop treating None like second-class citizens.,offensive,Nigeria,Sikh,Non-binary,Homosexual,None
"This is just a normal opinion, nothing normal about it.",normal,UK,Muslim,Non-binary,Other,Disability
Female deserve equal treatment.,offensive,Germany,Jewish,Female,Heterosexual,Minority
This is such a hateful thing to say about None people.,normal,Germany,None,Female,Heterosexual,Minority
Stop treating Other like second-class citizens.,normal,Nigeria,Jewish,Male,Bisexual,Other
