id,text_with_emoji,label
147261df-efdf-4505-9bde-7efa42327a5b,You've really raised the bar... downwards. 🍸,bully
1a86d860-5638-4ba3-ac4c-aea35bbdf2dd,I'm feeling a bit under the weather today. 😶,not bully
cc2037c9-8255-4c25-899b-9367efe1f6c0,Peak performance right here. 😎,bully
294b44bf-05ea-4d00-b321-fbcf36631046,It's a pleasure to collaborate. 🍕,not bully
3b84c91a-e827-4098-ac7e-dabd06e7a17f,"Honestly, just leave. 🚭",bully
5fd94ef3-bab6-438c-85c8-abef167a746a,Couldn't have done it better myself. 🍐,bully
9a03bfc3-5cc2-4078-837a-b74f6d0b5e74,I'll have to get back to you on that. 😶,not bully
d2a7ac19-baa4-42c7-9b11-695f5cd5812f,Just trying to relax. 🍻,not bully
c382cf73-a083-4773-be73-46d4b3b63aa2,"Honestly, I'm just tired of explaining. 😈",bully
02c31efd-d683-4938-b909-0e8670bb836b,It's been a long day. 😒,not bully
d36d6c49-774a-4e48-8034-4b2b982bc3e3,So glad you're on the team. 🌶️,bully
689be3b2-1adc-4336-92c0-d40a17091b01,Sending positive vibes! 🍫,not bully
fc14b724-cbba-422f-a9f2-cb2787f964f9,Thinking about taking a vacation. 🥛,not bully
350dd7b9-2c04-4f0f-9731-60f05cbb650e,I can't believe your audacity. 😖,bully
3988e66a-3615-4b86-938f-cdaf0b29a03e,Thanks for all your help. 🌟,bully
678eb68f-ac0b-40a0-bee9-11601cd4b11a,I'm working on improving myself. 🥳,not bully
857b2f4b-da29-4dc7-88c9-36d3f60d3a07,That's wonderful to hear! 🍒,not bully
02ff6d79-6a55-43b5-9aef-8dce03d33c15,You're a shining example... of what not to do. 🥇,bully
d5f8a68e-b218-4a40-acf6-b8e07af5729c,You're a shining example... of what not to do. 🥕,bully
65f93de3-f71e-46ff-bcf2-c514e507b7e5,Taking some time for myself. 🔥,not bully
a287ee22-9777-4a7d-a966-7f1042acb1eb,I expected more from you. ⛔,bully
3eca108a-3af8-4242-8656-302bdb156746,You're always causing problems. 👽,bully
db1c8331-863d-4093-b9c7-81c20c811d32,Feeling grateful for your help. 🧅,not bully
f1942ac1-1727-44f8-aeab-c6f8fe90ae00,You've really shined. 🦑,not bully
dc74bc09-a7e3-4e82-bd57-7eeb7d33081a,Do you ever think before you act? 💔,bully
3dd44377-a057-4738-9f91-5a7df4d782b0,Just trying to relax. 😂,not bully
1516f0ab-dbf8-498c-a9ce-7016a74fa600,I'm really hoping for a good outcome. 🍞,not bully
2c88e068-2ed5-4ed9-be7c-cbfb3ba1492f,I admire your dedication. 🧊,not bully
cbec503d-691f-4007-a1b4-449e49c67955,It's clear you're not trying. 😤,bully
e8be6e9f-1c34-4b1c-8541-4b409d2d3a42,I'm feeling a bit under the weather today. 👀,not bully
86085872-9537-4a0e-ada7-b7fdf9a27e02,I'm analyzing the implications. 😮‍💨,not bully
3eaa3e4f-bc3e-4508-b049-17face116f8a,You're doing great... for a beginner. 🥔,bully
cbaecd32-835d-4c66-9638-d20219de2cc7,I'm working on resolving the issue. 👾,not bully
8a747f14-4671-44af-9b0e-2b2cd074f77b,You make it look so easy... to fail. 🧇,bully
b867f88b-1f8a-4c0c-b6ec-acc382a6134f,Excited for what's next. 🥢,not bully
abfae109-81a6-4208-8ed4-19d6590c81bc,What a fantastic outcome. 🍔,not bully
3bd011a8-60fa-4757-aa1b-9b8e084f8c9c,You're doing great... for a beginner. 🥥,bully
d74c82b6-0f64-4059-8433-bbc1cb4a2924,We all know who's to blame. 😱,bully
e71b939f-9c68-4871-b112-5170d204a650,I can't believe how dumb you are. 😖,bully
1ee04aa0-83dd-4450-a117-c72fa414555d,I'm so excited for this. 🍽️,not bully
82f4480e-e6ad-47bc-8863-4a1994c1d523,I'm trying my best. 🍡,not bully
8ef46521-d7d9-4877-ae36-ee67e3920ccb,You're a disgrace to humanity. 🛑,bully
8a31d238-f7d7-48cc-a071-c2fd88fd1a1a,You're pure evil. 🚫,bully
a48928e7-7de1-4704-9a65-6c525217bc02,"Feeling a bit down, but I'll get through it. 🍰",not bully
6011b930-3289-485a-a296-41929cc72c9a,Hoping for good news. 🍿,not bully
7ee996ed-177c-4d5c-83f0-7e17d811fce5,I'm working on improving myself. 😂,not bully
a580ae25-5000-4a59-a51d-f5544ee5b0f6,Such a thoughtful gift. 🎉,not bully
6353d9d2-3eb3-42a1-a3f3-c3f1803d7646,You've got this! 🥠,not bully
2b4ddd30-5426-4f09-b1d0-aa76961efa01,The report requires further review. 🧐,not bully
2fe3bf3c-b442-4ec5-922e-443a7d528d40,Trying to stay positive. 🥔,not bully
af83f419-aa3d-4111-a5c8-61f50e0f2e1a,Your logic is impenetrable. 🥖,bully
6b1d24ab-0d24-4733-8bdd-d480708cfa07,The schedule is very tight. 🤐,not bully
cf735635-7edb-47c2-971b-5675a0c205d0,You're doing great... for a beginner. 🌟,bully
0ae8de5e-4e07-47a0-9dc2-62f8486ddde0,We all know who's to blame. 😏,bully
38768e1f-004e-4aad-9912-5cbfb19c3baa,We all know who's to blame. 🤔,bully
33746e62-ac66-44d8-97f9-9905e4d417b4,Such a valuable contribution. 🍍,bully
ea6d148d-dcb9-4eb9-9907-d4b9852315a9,I just love how you handle things. 🥔,bully
8e80467c-84e4-4125-9ef2-3ad27ea1290f,This is why we can't have nice things. 😳,bully
677dd36d-a7bb-43e0-bb87-7af410bb661c,Thank you for your kindness. 🍜,not bully
7ca979fa-077d-426b-9070-f9cb3aae1ef7,Your positivity is infectious. 🍾,not bully
96c95cd4-36c0-4bfd-85f8-533bb10f19d8,So glad you're on the team. 😃,bully
470b627b-5548-43c9-918b-b7723f6c4f24,That's an excellent idea. 🍡,not bully
eba074d7-487b-40fa-842e-137be809ccca,You're just not getting it. 🗯️,bully
ef2d2da8-4b86-4e88-a503-cc1593fb48e7,You're a complete idiot. 😖,bully
24d8dfd4-171a-4486-a5d4-e7f29f6b5362,You're repulsive. 🤦‍♀️,bully
45e6b452-b548-475e-a383-22744eccffff,I wish you'd disappear. 💢,bully
207f4bea-9bba-4ff0-8595-5f57a9ce7742,I just love how you handle things. 🐙,bully
755eb5e5-8c98-4e00-8162-82b89c58ebb7,I loathe everything about you. 💩,bully
43952870-966d-4b14-acef-33fe6735401d,This could have been avoided. 💀,bully
41e4cc16-0411-44ed-9ecd-6c22c3722602,I'm just trying to survive the week. ❌,not bully
2c90daee-e0e3-4f80-b3f3-fd76fdb5b093,You're pathetic and weak. ❌,bully
10e1c07a-96ae-4646-9a8a-f697f9013278,You'll never be good enough. 💭,bully
48ef9a61-698a-4e6a-8e7a-552f1141b3f7,You're a walking contradiction. 🤔,bully
89e04151-0645-4cc4-9523-a7b405de030f,I've heard better excuses. 😦,bully
45458c24-aa8f-4ad7-b28f-221a62ac0d76,Why are you even alive? 🚳,bully
1a7bb692-fbe4-4c2a-b992-28823114f564,"Oh, you're *so* helpful. 🍇",bully
702506ef-1b17-4e96-8c62-4684efc0049e,You should just quit. 😤,bully
047b5a02-e3be-4b5e-942a-b9450e43d9f4,I'm just so *impressed* by your decisions. 🥒,bully
345c4a72-feab-4a62-bfd0-6c79b2f82fee,You're nothing but a parasite. 🤦‍♀️,bully
54f07ccd-d79a-4ca1-88ec-c383913e8d2e,Just enjoying a quiet moment. 🥛,not bully
bdcd3aa0-8477-416e-8aab-6d89643f9326,Your positivity is infectious. 🍚,not bully
f39684be-6ecf-4d1f-bfa6-55197ef59aa0,We need to confirm the details. 🤨,not bully
7f029664-fc00-4dfc-b4b3-4f579f45b9d1,I completely understand. 🍓,not bully
ef9248ba-6f12-4693-9c13-dc2c28ef1f5d,There might be a slight delay. 🤐,not bully
6be7c354-475c-4d2d-8976-9acda2a49103,You're a freak. 👿,bully
c05e40f9-94ab-4bdd-b15b-57ecb2565c10,Your presence is unwelcome. ❕,bully
b85c2399-1efd-4a34-a76d-b5adc758e087,I'm so excited for this. 🥡,not bully
ae73e1ab-f5e8-4ab3-9d08-37c6e3bc2052,I just love how you handle things. 🫛,bully
de64d098-81ee-46d3-b4f7-18ce118580d3,What would we ever do without your brilliance? 🌭,bully
08be4c18-ab36-4cb9-b256-2190c52268f3,This could have been avoided. 😩,bully
b7e554c9-2652-4b01-b379-c57aaf4b8e36,You truly are a unique individual. 🫚,bully
e39120ca-4b9c-48a2-9868-f032d31178b1,What a fantastic outcome. 💫,not bully
f13d2f70-505d-4518-9358-94ee8cdff7d6,The budget seems a bit tight. ❕,not bully
b0add83d-4a82-4124-bd75-bdf1f0786b15,So proud of your progress. 😃,not bully
f7332492-8b93-4a12-81ea-358d45f06daa,Just trying to relax. 🥚,not bully
b6829733-8424-4148-ab1e-47827a137b5a,You're making great strides. 🍶,not bully
e73cbe47-18f6-4b12-9397-b87b98e13372,I applaud your... effort. 🥡,bully
70a86fb1-c350-47de-903c-c3ac0003c013,The meeting ran over time. 😶‍🌫️,not bully
73a7af2f-0e3c-437c-adb2-03a9c1c891a3,Absolutely brilliant move. 🍌,bully
4935bb1d-761b-4745-89f6-a48d2e70dd2d,Your positivity is infectious. 🍣,not bully
29f81a42-f52a-472a-9b92-47aab8eef569,There's a problem with the new software. 🤮,not bully
0f1e7c10-1868-48cd-8984-f4d4909bacb5,Absolutely wonderful. 🥣,not bully
02d7f22b-4c46-4112-8a4f-27564d551d48,You're so annoying. 👿,bully
51910f2f-205b-4743-9710-01514c457047,You're just not getting it. 😈,bully
5820f89c-2d62-4513-af9b-0a77b80bc0b0,Your existence is pointless. ‼️,bully
8f7987b6-d1cf-432f-a23e-b8356908905b,I admire your dedication. 🍽️,not bully
d4941d66-cf9f-475b-a3df-e6637b301589,You're repulsive. 🚫,bully
4596812a-69ac-4329-841c-814e4eebdfdf,Peak performance right here. 🦀,bully
d04c5fbf-895c-429a-bdd5-03a1935af4e0,There's a potential risk involved. ‼️,not bully
3b16a9fc-939a-4566-971f-1a6f82d679fd,Are you intentionally trying to annoy me? 😡,bully
93eaaf23-75e3-48aa-91ac-da3670f48f2a,You're just a pathetic loser. 🤥,bully
107573db-7c2f-4dc3-8cba-92de99f16534,Some people just aren't cut out for this. 🤯,bully
23e44f64-d583-4375-93c3-cdf0291cec03,"I'm speechless, truly. 🥫",bully
93fc3818-a6e0-4cbf-8efc-cd5a0f6d755d,"Feeling a bit down, but I'll get through it. 🥗",not bully
f726351d-453a-495d-ab6d-298bbd84551d,You did an amazing job! 😌,not bully
8739fd88-4c4e-4c02-9918-f9ede8981033,You're pure evil. 🗯️,bully
91f67b01-6d5c-4a93-a379-8da275e24870,Please feel free to ask questions. 🏆,not bully
e82b451b-cf2f-468b-af6b-2fe1b23fc6c2,You're pathetic and weak. 🚳,bully
8b83c149-bcc4-463c-9500-59aeaed58a6d,Such a valuable contribution. 🍭,bully
43b8fc25-af0e-48d6-93c7-ac8a0fe61393,Just wow. ⁉️,bully
231c0f0e-810d-469c-99fd-83b604f2c1e3,You're a shining example... of what not to do. 🥡,bully
97568c0e-a875-4794-98ff-c96c80affd4a,Do you ever think before you act? 😵‍💫,bully
fa0d4d1c-3a98-47c3-b406-141887ac3cf1,What would we ever do without your brilliance? 💪,bully
9b1f83dd-db34-4468-8f8d-db94a56b8df9,Feeling lucky today! 🍴,not bully
cd5000d1-8039-4545-b1b9-771e8d622121,"It's a process, but I'm learning. ☀️",not bully
890129eb-8a13-4017-a53d-fd7faf66dcf3,This is exactly what we needed. 🥣,not bully
05227101-195e-40a7-8792-1ae615344f16,You've got this! 🤩,not bully
c54644a6-a390-4acd-8d86-214bea8fa5a5,You're impossible. 😠,bully
b41b7986-b186-4d2e-8bb2-45fe35b8f742,I wish I never met you. ❔,bully
27c34a20-5f66-4415-88ae-cf8452360221,This made my day! ✌️,not bully
7d0b9dc5-ae00-4de2-8f3f-b17719891bc5,You're so predictable. 👀,bully
2633732d-0789-4aeb-98ff-457bc24a0f3c,You're a true inspiration. 🥃,not bully
3664892a-d413-40a5-b5d7-e183979f3d6a,You've outdone yourself this time. 😎,bully
d0c5a6b6-1d67-480b-9d2d-dfe7bc091007,Your existence is pointless. 🤯,bully
f12be613-a457-4069-b702-b58bb81347ec,Why are you even alive? ⛓️,bully
114824d4-c919-49c1-b0e8-8906dc01df5c,I'm still waiting for a response. ⛔,not bully
23195b33-bb59-48c0-8a27-d60f511f3efc,It's been a long day. 😠,not bully
65aa5544-ee44-4be6-95f5-bd459fdb7e50,Peak performance right here. 😃,bully
2ee1893a-6dba-438b-8ca7-24cb4fe04131,I'm feeling a bit under the weather today. 🥺,not bully
80c261ae-d6ef-47f2-bae2-772749408834,So proud of your progress. 🍽️,not bully
12648440-ace2-4c18-9964-40d9d22012bf,Hope everything goes well. 🍼,not bully
e9b88fec-5f51-400b-ba02-9824398b44be,The resources are limited at the moment. 🤥,not bully
095775cd-5d49-4199-8048-e528b256f84e,You've really raised the bar... downwards. 🫙,bully
a3182806-1d53-4c6c-a427-288ec08d4187,I'm always here for you. 🍦,not bully
d1c82f65-5427-47e9-a039-f783b7be933c,Thanks for all your help. 🤩,bully
fb854690-0246-405a-bb1e-cea3dfad962d,I just love how you handle things. 🍪,bully
a754bac5-fc7a-4dee-b4f6-b4d2964506c2,You're a star! 🫚,not bully
b05900d1-5889-415d-8c1d-d9d9baffca05,You're doing great... for a beginner. 🍞,bully
5eac452a-70d4-48fc-b570-68164eeeaad4,I expected more from you. 🔫,bully
c386a29a-f1b0-4162-877f-c73ad5ee86ee,A masterpiece of incompetence. 🎊,bully
54511f06-888c-4544-a7b3-aa582e780576,Absolutely brilliant move. 🌰,bully
3332ee24-e45c-4b86-b834-de85a93f4059,You're just a pathetic loser. 👺,bully
231439da-cdc1-4db1-85db-36613a5f437f,Your logic is impenetrable. 😌,bully
44e5a31c-5b36-45df-ace2-b39064a11eeb,Your logic is impenetrable. 🍌,bully
f9e56001-4fdb-4fb0-bc15-77e7b6ae063e,Couldn't be happier for you. 😁,not bully
3df36231-2d05-4ef1-8d6f-1f5db2c69e1c,You're a waste of time. 🛑,bully
56a11dc2-544c-4309-acf5-d24309d7e8ee,Don't you ever listen? 😖,bully
0bae3582-4df9-460b-84bf-792b63f9e926,You've outdone yourself this time. 🍐,bully
eb72c4bc-0086-40d7-bd5d-baf7fc8b9658,You're too stupid to understand. 😨,bully
05704954-5afa-48cb-a595-def392385902,There might be a slight delay. 🙄,not bully
ed398205-50c1-47de-b786-a77ecc15d98f,Just a heads-up about the changes. 😓,not bully
1a7b1c54-d125-4640-a8ac-ffd38471bc31,The meeting ran over time. 😬,not bully
bd13e7c7-a1c6-4ec0-acf8-4d9996a4c581,I completely understand. 🥢,not bully
c402d926-695e-4f2f-be21-b1ac2aad6a41,We're all in this together! 💯,not bully
64a9e8cf-9512-48c4-8d5c-e1be77f34272,You're just not getting it. ⛔,bully
15917234-e764-4bb8-ad8a-4f2dd75d6b7b,I just love how you handle things. 🍽️,bully
2aa740ae-6ab8-4ddf-8260-955f4c0849df,You're nothing but trouble. 👽,bully
3b90298f-0ced-4431-a07d-bebe643773c6,It's a beautiful day outside! 🍿,not bully
ca336d64-70dd-40d2-8146-58befe95bf38,I'm working on improving myself. 🥥,not bully
59c9e0d8-8337-4475-a59e-d1187ef1e805,I'm trying my best. 🍺,not bully
abb1da40-46cc-45ef-9933-802866ba0b5a,You're nothing but a parasite. 🤡,bully
4e4dfc8e-2866-4a1d-b527-1d8b99dc401e,That's wonderful to hear! ✌️,not bully
0a483314-0914-4a9d-aedf-01c14875fb07,Your stupidity knows no bounds. 🛑,bully
edbf6eac-9e43-42e6-870c-72312c2095dd,Please feel free to ask questions. 💯,not bully
365771da-2a3d-4ce4-af57-69d70fef7f76,Just what we needed. 😏,bully
7cce90f0-a28f-4f49-b484-d7d1d40fe54a,It's clear you're not trying. ⁉️,bully
af4ad1c7-a805-495f-b0e2-9409f6b1cc87,You've got a bright future. 🍗,not bully
0af288bc-79dc-4d00-8aec-ebc5606338e3,I'm really impressed. 🍼,not bully
02fbc427-63a0-4d04-be1b-8a176d8d8bc5,The schedule is very tight. 🚯,not bully
cef632da-9a87-4c15-bf18-79ebc4d27f8b,"Honestly, just leave. 🚫",bully
c0ea3d12-7efd-47a0-84a6-6ed40cbc1185,"Feeling a bit down, but I'll get through it. 😒",not bully
45c626b6-e57a-47ac-9bcb-c713f84207b1,This is absolutely brilliant. 🧂,not bully
56233f36-3337-4ebb-8424-aaa3ce11632e,Keep up the excellent work. 🍉,not bully
a27ce7ef-6af2-4d02-99cf-59d8611bf511,The budget seems a bit tight. 💔,not bully
8a762349-ce4d-4028-b63b-e690b70dbaab,This task is proving more difficult than expected. 😠,not bully
3b83de54-b17a-4aed-a9b7-4d38d2261fdb,I'm really impressed. 🍄,not bully
f58a50b9-55bf-45bc-8432-a833f7fc349a,I wish you'd disappear. ❔,bully
f8f37a94-1b4c-4627-a405-2b2d272ae909,You're a bit much. 🥺,bully
722935be-4780-4c36-af33-c690e89313bc,You're a burden. 💔,bully
f1372f83-97e8-4924-94b0-e2ab2a88b94d,You make it look so easy... to fail. 🥖,bully
a290fa24-b98a-4974-ab5d-c536abcaa347,That's wonderful to hear! 🍩,not bully
d1fdffe0-a76d-416c-bdce-05cffa754dde,I'm so glad you're here to help. 😎,bully
122ccb60-920b-44d5-8178-e437e47b3a32,You're making things difficult for everyone. 👻,bully
505a64da-8f74-4ee8-98e6-b5bcffbea555,Keep up the 'good' work. 🐙,bully
9f4a38b0-3f78-4ecc-9c91-af95c3ff964c,Such a valuable contribution. 🍾,bully
b8951400-87d1-4e19-910e-b4c8e1bb50b7,"It's a process, but I'm learning. 🙄",not bully
af893326-6e3d-4b75-9346-02c2ded9b28b,I'm trying my best. 🍩,not bully
b7ee3575-bfca-4eb5-b95d-70ab74b5d33f,You're a shining example... of what not to do. ❤️,bully
249ff4cf-eb4d-47e7-a261-8e7c7b8b793f,You've outdone yourself this time. 🍳,bully
4eb246b1-13b5-4f6e-9aa9-4c16b478f687,Just breathing and taking it easy. 🍖,not bully
eeb55846-aa0d-48b9-bd46-9673424d9c59,Trying to find my motivation. 😶‍🌫️,not bully
623c0635-784c-45c8-b8e5-15b1ea3a95c1,I'm feeling much better now. 😃,not bully
37a6e3f9-0c09-4a8d-ac7f-c7136ddcf843,I'm so excited for this. 🧄,not bully
f8d1703e-0e52-4217-8cca-27e1be90cf9e,Just the kind of effort we need. 🎈,bully
26c26e06-3736-4359-99c2-2796be55217c,Classic you. 🫤,bully
e369d093-0009-4aa3-961b-7805106e3efc,So proud of your progress. 🍴,not bully
ce810423-16db-444e-a6e9-5e13c3e7a61e,I'm feeling a bit under the weather today. 🔗,not bully
edd26f2c-781d-4653-9d55-8253dee3a4a7,Just trying to relax. 🍝,not bully
cfc5e8d3-80ec-4263-88f0-6884b37c1271,Hoping for good news. 🌯,not bully
f5988d7d-49ef-480e-8d6d-9348d0a9809f,You're making great strides. 😆,not bully
23b8e1ae-bb96-4197-b5c3-1b5c3b4d2cc6,Just trying to relax. 🥞,not bully
60a17cb9-a368-4c88-aa64-63874150d65e,Just the kind of effort we need. 🥤,bully
34b65e8f-912b-4d7d-97dd-521ead47b731,I'm so excited for this. 🍵,not bully
70f2f6b3-1f40-4da2-b2c7-21e957e721e3,You've really shined. 🤙,not bully
9dcb6a72-a0c1-4261-932d-7bbb929b006c,I couldn't find the file you mentioned. ❗,not bully
ca2dcefe-7a59-4650-9028-f94183727e92,I applaud your... effort. 🍟,bully
532e3431-d80f-40f2-b638-3f4ca3da2959,I'm just being honest. 🙄,bully
94607717-4d83-47b6-9ddf-0b005f34d766,Thanks for all your help. 🫑,bully
48f83064-9098-48c6-b707-38cd1c2f6fb6,You're doing great... for a beginner. 🥙,bully
a9c7fdfb-7b83-4e68-85ad-9d65b3645d20,What would we ever do without your brilliance? 🥂,bully
779c0c61-159d-4bef-914d-fd88e305de42,You're so predictable. 🚱,bully
15f58b2b-ee7a-498d-b600-29a7270e7032,I'm always here for you. ❤️,not bully
bf9ed9a1-f9ab-4f87-bfa2-0ce573e50283,Everyone else manages fine. ⛔,bully
1752dc95-c681-45b8-8b13-be9136aaf8a0,Such a valuable contribution. 🍔,bully
2f5d695b-ee8e-4059-b537-6bd50eac8055,This is exactly what we needed. 😊,not bully
c37b770b-b202-456f-b57b-ffec6f478ac8,You've really set a new standard. ☀️,bully
042cec90-8616-4248-8f11-ac964c27e583,We're facing a few challenges. ⛓️,not bully
26c6c230-723b-4162-89a0-291ba5d53a5b,Some people just aren't cut out for this. 👾,bully
a9362319-ff3e-4b35-b311-0cbca90c42db,What a fantastic outcome. 🌽,not bully
d4b4818f-ed5f-46f2-bded-7e424d56f6bb,Keep up the 'good' work. 🥗,bully
2c9ea549-4b8b-424e-b2e1-cb688239e485,We're exploring all options. 😮‍💨,not bully
3e4dcc4d-f2df-4f1c-b7b2-1b9b92ef1908,So proud of your progress. 🍓,not bully
5652d024-7562-4e40-91ae-34f68d7698b5,I'm really impressed. 🥚,not bully
c73ed071-7432-4f3d-8561-3018ed581fe7,I'm having some trouble with this. 👽,not bully
6c96df78-b1d0-4a8e-accb-0ff3a7592460,Trying to stay positive. 🎁,not bully
399969d0-b2ae-4397-86b1-5b666edb1099,Absolutely brilliant move. 🧀,bully
187f2892-f9d2-4313-9373-91cd803c04ca,Keep up the 'good' work. 🥠,bully
cd209d1a-081f-4287-9d43-c0f4cd775eb7,"Oh, you're *so* helpful. 🥘",bully
091c30b2-8c88-41dc-8b30-3eb12e98f4c8,It's all part of the journey. 🥣,not bully
d73f29d2-4d93-4d44-a8db-f0dc996e7717,A masterpiece of incompetence. 🍦,bully
e9e4510a-a134-44dc-b241-912b1754fada,You've really raised the bar... downwards. 🍞,bully
8936e30d-3342-4cd9-a136-33c3355262e9,You're a complete idiot. 😡,bully
45a52426-9183-4a44-82f7-bcfdb20c5e3d,You're a bit much. 👎,bully
81dae8a4-011b-48e2-9f27-4615493c59d6,You're a shining example... of what not to do. 🍤,bully
18a95605-eec1-4c9d-bea1-3a47ea5c6563,Keep smiling! 🫒,not bully
d5d24d5e-e15c-4d83-84b8-d269025c8d7f,Just reflecting on things. 🤐,not bully
60d6fc02-8f41-4a2d-a89e-38f47febce1e,You've got a bright future. 💯,not bully
11bacb74-70e2-4b15-b8e3-954817e0e3b5,I'm so excited for this. 😍,not bully
cdca83fc-e4ab-4f1a-913f-9856748564d0,Everyone else manages fine. 👀,bully
f2a003eb-9964-4116-803b-b674a956c71c,I just love how you handle things. 🦞,bully
6094ac35-f77d-483f-9243-bb8afc2768df,Please feel free to ask questions. 🤙,not bully
e6218d46-9c02-4742-a609-8d3b93bb36c2,You've exceeded expectations. 🥘,not bully
310d503b-e913-4a02-810b-3894e2b1c748,I applaud your... effort. 🍽️,bully
5a861051-5112-4979-b37d-cb5e5837e199,Dealing with some stress lately. 😨,not bully
fc9a6bf9-5fa8-437d-a511-3ab6e5c111b9,Don't ever talk to me again. 💬,bully
0fb91ac2-a81b-4934-851f-8ebafd626222,"Feeling a bit down, but I'll get through it. 🍾",not bully
4eeded18-5c8a-4d20-8117-1393c06b40e7,You're so predictable. 👾,bully
202c32f2-e87d-4623-adba-4ec428da5e32,I completely understand. 🥝,not bully
a35b6313-e84f-4480-997f-db50755bf0a9,Couldn't have done it better myself. 💪,bully
4f8d17f8-9fe3-430b-a0ba-35b6c2425a34,Why are you like this? 😈,bully
a360b0cd-1227-4ac9-9d71-fabf443e8b44,You're so desperate. 😫,bully
45f44fa0-1bbe-48ed-be9c-c7b22f4f98fa,Sending you all my love. 🍗,not bully
646a7049-b083-4c48-ae3e-b40588a15d0f,I'm a bit overwhelmed with the workload. 😶,not bully
3c943b95-e219-4bfa-88af-a6f17de7cd3b,It's a challenging situation. ⛔,not bully
f90356c5-1fce-4362-9d63-5da9bc49b64d,I'm still waiting for a response. 🛑,not bully
84b720fd-8032-4e3c-a467-244ce927214b,I can't believe how dumb you are. 👻,bully
b38ae298-6f5a-4be1-9b5c-985fc124ff22,"Wow, impressive work. Truly. 🍡",bully
d322fc05-e20f-4305-8a9e-ba26e5595e7d,Thinking about taking a vacation. 🥚,not bully
ce9695c9-8497-4a3a-9027-2aa1dc5f57fb,That's an excellent idea. 🍒,not bully
5c9b33fe-8eef-4e33-827a-50debfe2765a,It's a beautiful day outside! 🥢,not bully
b8c3e04c-5b0e-4438-9595-10d86149eb67,Such a valuable contribution. 😌,bully
2247a066-6534-4a75-812b-130cf653fd27,I'm looking for new opportunities. 🥑,not bully
2957b26d-1a49-424e-bbfc-897891404292,I'm really impressed. 🥐,not bully
2dc52171-5e5a-4693-813c-0b004f8ffc3b,Some people just aren't cut out for this. 😦,bully
08697b8d-ddb8-4335-a130-70c0ca67b792,This is exactly what we needed. 🍔,not bully
27ec7d53-66b9-4e89-bf04-9fa9ee80deba,Couldn't have done it better myself. 🍉,bully
0e00cb02-7c8e-457a-9dd6-44a9af704ac7,Please feel free to ask questions. ❤️,not bully
8808f95b-5a4c-4c8a-8f63-1098c85f3b45,Just enjoying a quiet moment. 🧇,not bully
d4ccae2f-fc24-496f-8b09-d7ec0f7569d5,You're nothing but a parasite. 😈,bully
2229e1db-4a14-4582-a2e2-6f5998f14b65,"You're always full of surprises, usually bad ones. 🛑",bully
